run_id,stage,date,policy,policy_name,rtt_ms,load,rep,status,result,a_ms,d_ms,b_ms,u_ms,c_ms,g_ms,n_col,n_sw,m_rate,hold_rate,rtt_ms_median,edge_stop_steps,local_steps,duration_s,min_range_m,delta_ms,git,note
11,C3,2026-09-26,4,n3_flag,10.0,L1,2,valid,GOAL,434.2,1007.9,9.7,3.5,0.0326,560.47,0,1,0.0,0.0031,11.091,0,518,46.88,0.2843,-2.857,synthetic,"SYNTHETIC, not a measurement"
12,C3,2026-09-26,4,n3_flag,10.0,L1,3,valid,GOAL,430.3,1099.9,8.9,3.5,0.0349,657.17,0,0,0.0,0.0027,11.3,0,174,49.28,0.2633,-2.12,synthetic,"SYNTHETIC, not a measurement"
13,C3,2026-09-26,1,always_local,30.0,L1,1,valid,GOAL,433.5,1124.8,,3.5,0.0352,,0,0,0.02,0.0069,31.191,0,1180,47.83,0.262,-2.926,synthetic,"SYNTHETIC, not a measurement"
14,C3,2026-09-26,1,always_local,30.0,L1,2,valid,GOAL,445.1,1053.1,,3.5,0.0353,,0,0,0.0201,0.008,30.381,0,1180,49.1,0.2656,-2.184,synthetic,"SYNTHETIC, not a measurement"
15,C3,2026-09-26,1,always_local,30.0,L1,3,valid,GOAL,409.1,1071.5,,3.5,0.033,,0,0,0.0204,0.0041,30.39,0,1180,48.23,0.2626,-3.037,synthetic,"SYNTHETIC, not a measurement"
16,C3,2026-09-26,2,always_edge,30.0,L1,1,valid,GOAL,419.8,1078.6,,3.5,0.0348,,0,0,0.0203,0.008,30.56,2,0,49.14,0.2636,-2.629,synthetic,"SYNTHETIC, not a measurement"
17,C3,2026-09-26,2,always_edge,30.0,L1,2,valid,GOAL,459.6,1117.0,,3.5,0.0333,,0,0,0.02,0.0061,30.651,2,0,47.74,0.2782,-2.33,synthetic,"SYNTHETIC, not a measurement"
18,C3,2026-09-26,2,always_edge,30.0,L1,3,valid,GOAL,394.4,1119.6,,3.5,0.0349,,0,0,0.0202,0.0082,30.972,2,0,47.13,0.2649,-1.826,synthetic,"SYNTHETIC, not a measurement"
19,C3,2026-09-26,3,rtt_window,30.0,L1,1,valid,GOAL,428.7,1110.8,,3.5,0.0343,,0,1,0.0199,0.0042,31.024,1,621,50.34,0.2628,-2.359,synthetic,"SYNTHETIC, not a measurement"
20,C3,2026-09-26,3,rtt_window,30.0,L1,2,valid,GOAL,451.4,1091.2,,3.5,0.0346,,0,0,0.0201,0.0059,30.469,1,292,46.83,0.285,-3.085,synthetic,"SYNTHETIC, not a measurement"
21,C3,2026-09-26,3,rtt_window,30.0,L1,3,valid,GOAL,442.9,1080.8,,3.5,0.0325,,0,2,0.0203,0.0083,30.404,1,126,48.33,0.2575,-2.908,synthetic,"SYNTHETIC, not a measurement"
22,C3,2026-09-26,4,n3_flag,30.0,L1,1,valid,GOAL,397.9,1176.9,20.3,3.5,0.0349,755.17,0,2,0.0197,0.0045,30.847,1,442,47.37,0.2776,-2.977,synthetic,"SYNTHETIC, not a measurement"
23,C3,2026-09-26,4,n3_flag,30.0,L1,2,valid,GOAL,436.3,1138.7,18.9,3.5,0.0352,679.96,0,3,0.0202,0.0077,30.818,1,264,49.42,0.2781,-2.06,synthetic,"SYNTHETIC, not a measurement"
24,C3,2026-09-26,4,n3_flag,30.0,L1,3,valid,GOAL,428.6,1051.4,20.5,3.5,0.0324,598.77,0,3,0.0203,0.0044,31.074,1,601,48.53,0.2555,-2.778,synthetic,"SYNTHETIC, not a measurement"
25,C3,2026-09-26,1,always_local,60.0,L1,1,valid,GOAL,457.1,1134.3,,3.5,0.0332,,0,0,0.8315,0.0107,62.59,0,1180,49.6,0.2671,-2.05,synthetic,"SYNTHETIC, not a measurement"
26,C3,2026-09-26,1,always_local,60.0,L1,2,valid,GOAL,451.5,1048.4,,3.5,0.034,,0,0,0.8194,0.0071,61.438,0,1180,47.94,0.2704,-1.715,synthetic,"SYNTHETIC, not a measurement"
27,C3,2026-09-26,1,always_local,60.0,L1,3,valid,GOAL,451.3,1056.1,,3.5,0.0333,,0,0,0.8324,0.0051,60.425,0,1180,49.03,0.2842,-2.978,synthetic,"SYNTHETIC, not a measurement"
28,C3,2026-09-26,2,always_edge,60.0,L1,1,valid,GOAL,452.8,1077.3,,3.5,0.0338,,2,0,0.8136,0.0101,62.848,9,0,47.04,0.1351,-2.022,synthetic,"SYNTHETIC, not a measurement"
29,C3,2026-09-26,2,always_edge,60.0,L1,2,valid,GOAL,440.9,1110.9,,3.5,0.0356,,0,0,0.8445,0.0063,62.218,9,0,50.1,0.2576,-1.897,synthetic,"SYNTHETIC, not a measurement"
30,C3,2026-09-26,2,always_edge,60.0,L1,3,valid,GOAL,421.4,1120.9,,3.5,0.034,,0,0,0.8348,0.0084,61.438,9,0,47.23,0.2618,-2.237,synthetic,"SYNTHETIC, not a measurement"
31,C3,2026-09-26,3,rtt_window,60.0,L1,1,valid,GOAL,430.4,1182.1,,3.5,0.0349,,0,4,0.8161,0.0096,62.581,4,412,46.73,0.2575,-1.911,synthetic,"SYNTHETIC, not a measurement"
32,C3,2026-09-26,3,rtt_window,60.0,L1,2,valid,GOAL,444.1,1181.6,,3.5,0.0353,,0,3,0.842,0.0065,60.197,4,437,47.18,0.2856,-1.745,synthetic,"SYNTHETIC, not a measurement"
33,C3,2026-09-26,3,rtt_window,60.0,L1,3,valid,GOAL,428.7,1088.5,,3.5,0.0331,,0,2,0.8244,0.0101,60.396,4,555,48.8,0.2654,-2.315,synthetic,"SYNTHETIC, not a measurement"
34,C3,2026-09-26,4,n3_flag,60.0,L1,1,valid,GOAL,402.5,1134.8,35.0,3.5,0.0328,693.77,0,3,0.8339,0.0074,61.087,2,389,47.36,0.286,-2.503,synthetic,"SYNTHETIC, not a measurement"
35,C3,2026-09-26,4,n3_flag,60.0,L1,2,valid,GOAL,465.0,1117.4,33.2,3.5,0.035,615.67,0,2,0.8252,0.0067,61.418,2,361,50.28,0.2691,-3.011,synthetic,"SYNTHETIC, not a measurement"
36,C3,2026-09-26,4,n3_flag,60.0,L1,3,valid,GOAL,447.2,1105.0,33.4,3.5,0.0347,620.87,0,3,0.8302,0.0061,60.498,2,283,48.89,0.2738,-2.676,synthetic,"SYNTHETIC, not a measurement"
37,C3,2026-09-26,1,always_local,100.0,L1,1,valid,GOAL,423.2,1237.6,,3.5,0.0356,,0,0,0.9852,0.007,103.096,0,1180,47.17,0.2836,-1.864,synthetic,"SYNTHETIC, not a measurement"
38,C3,2026-09-26,1,always_local,100.0,L1,2,valid,GOAL,447.7,1140.2,,3.5,0.0331,,0,0,1.002,0.0082,100.402,0,1180,50.35,0.2831,-1.842,synthetic,"SYNTHETIC, not a measurement"
39,C3,2026-09-26,1,always_local,100.0,L1,3,valid,GOAL,409.4,1211.8,,3.5,0.0336,,0,0,0.9827,0.0091,98.841,0,1180,50.04,0.2709,-2.072,synthetic,"SYNTHETIC, not a measurement"
40,C3,2026-09-26,2,always_edge,100.0,L1,1,valid,GOAL,413.7,1119.7,,3.5,0.0349,,2,0,0.9887,0.01,101.035,21,0,48.99,0.1456,-2.679,synthetic,"SYNTHETIC, not a measurement"
41,C3,2026-09-26,2,always_edge,100.0,L1,2,valid,GOAL,471.9,1246.0,,3.5,0.0346,,1,0,0.9862,0.0099,99.087,21,0,46.69,0.1323,-2.04,synthetic,"SYNTHETIC, not a measurement"
42,C3,2026-09-26,2,always_edge,100.0,L1,3,valid,GOAL,468.0,1129.9,,3.5,0.033,,2,0,1.0104,0.0072,99.759,21,0,47.57,0.1372,-2.565,synthetic,"SYNTHETIC, not a measurement"
43,C3,2026-09-26,3,rtt_window,100.0,L1,1,valid,GOAL,455.9,1099.2,,3.5,0.0333,,1,4,0.988,0.0105,104.186,9,570,47.77,0.1354,-2.062,synthetic,"SYNTHETIC, not a measurement"
44,C3,2026-09-26,3,rtt_window,100.0,L1,2,valid,GOAL,430.5,1183.5,,3.5,0.0347,,1,4,1.0129,0.0134,103.563,9,310,47.91,0.133,-3.062,synthetic,"SYNTHETIC, not a measurement"
45,C3,2026-09-26,3,rtt_window,100.0,L1,3,valid,GOAL,467.1,1154.4,,3.5,0.0327,,1,3,1.0092,0.0126,98.57,9,412,47.9,0.1355,-2.761,synthetic,"SYNTHETIC, not a measurement"
46,C3,2026-09-26,4,n3_flag,100.0,L1,1,valid,GOAL,424.8,1145.9,51.0,3.5,0.0352,666.56,0,2,0.9869,0.0131,101.023,5,637,48.33,0.2727,-2.401,synthetic,"SYNTHETIC, not a measurement"
47,C3,2026-09-26,4,n3_flag,100.0,L1,2,valid,GOAL,407.8,1192.9,50.1,3.5,0.0355,731.46,0,2,0.9837,0.0136,100.822,5,522,48.29,0.2556,-1.901,synthetic,"SYNTHETIC, not a measurement"
48,C3,2026-09-26,4,n3_flag,100.0,L1,3,valid,GOAL,470.9,1102.7,56.1,3.5,0.0328,572.17,0,3,1.0072,0.0089,102.32,5,128,47.77,0.2631,-2.606,synthetic,"SYNTHETIC, not a measurement"
49,C3,2026-09-26,1,always_local,200.0,L1,1,valid,GOAL,455.0,1097.6,,3.5,0.033,,0,0,1.0142,0.0139,201.738,0,1180,47.76,0.2649,-2.408,synthetic,"SYNTHETIC, not a measurement"
50,C3,2026-09-26,1,always_local,200.0,L1,2,valid,GOAL,455.2,1119.7,,3.5,0.0348,,0,0,0.991,0.0098,204.307,0,1180,47.91,0.2698,-3.117,synthetic,"SYNTHETIC, not a measurement"
51,C3,2026-09-26,1,always_local,200.0,L1,3,valid,GOAL,409.1,1135.8,,3.5,0.0334,,0,0,0.9808,0.0143,204.496,0,1180,49.91,0.2655,-2.826,synthetic,"SYNTHETIC, not a measurement"
52,C3,2026-09-26,2,always_edge,200.0,L1,1,valid,GOAL,429.4,1237.2,,3.5,0.0334,,4,0,1.005,0.0079,206.148,48,0,48.84,0.1317,-1.929,synthetic,"SYNTHETIC, not a measurement"
53,C3,2026-09-26,2,always_edge,200.0,L1,2,valid,GOAL,473.8,1213.4,,3.5,0.0355,,4,0,1.0128,0.0112,207.215,48,0,50.03,0.134,-1.99,synthetic,"SYNTHETIC, not a measurement"
54,C3,2026-09-26,2,always_edge,200.0,L1,3,valid,GOAL,421.5,1092.9,,3.5,0.0332,,4,0,0.9979,0.0089,199.781,48,0,48.24,0.1321,-2.046,synthetic,"SYNTHETIC, not a measurement"
55,C3,2026-09-26,3,rtt_window,200.0,L1,1,valid,GOAL,458.2,1156.0,,3.5,0.0344,,2,4,0.9812,0.0125,202.838,17,516,48.13,0.1363,-2.591,synthetic,"SYNTHETIC, not a measurement"
56,C3,2026-09-26,3,rtt_window,200.0,L1,2,valid,GOAL,453.8,1269.4,,3.5,0.0348,,2,2,0.9889,0.0082,201.159,17,324,49.89,0.1409,-2.026,synthetic,"SYNTHETIC, not a measurement"
57,C3,2026-09-26,3,rtt_window,200.0,L1,3,valid,GOAL,468.6,1125.4,,3.5,0.0332,,3,3,0.9818,0.0136,198.461,17,234,47.49,0.1379,-1.732,synthetic,"SYNTHETIC, not a measurement"
58,C3,2026-09-26,4,n3_flag,200.0,L1,1,valid,GOAL,460.1,1225.7,102.8,3.5,0.0337,659.27,1,2,0.9976,0.0084,207.097,9,191,47.81,0.1471,-1.861,synthetic,"SYNTHETIC, not a measurement"
59,C3,2026-09-26,4,n3_flag,200.0,L1,2,valid,GOAL,428.2,1199.5,111.2,3.5,0.0341,656.57,1,3,0.9998,0.0072,206.103,9,148,48.47,0.136,-2.568,synthetic,"SYNTHETIC, not a measurement"
60,C3,2026-09-26,4,n3_flag,200.0,L1,3,valid,GOAL,419.2,1261.1,109.2,3.5,0.0339,729.17,2,3,1.0181,0.0157,203.934,9,502,48.15,0.1371,-2.489,synthetic,"SYNTHETIC, not a measurement"
61,C3,2026-09-26,3,rtt_window,60.0,L2,1,valid,GOAL,428.2,1151.2,,3.5,0.0342,,0,4,0.8289,0.01,61.531,0,607,48.81,0.2634,-2.362,synthetic,"SYNTHETIC, not a measurement"
62,C3,2026-09-26,3,rtt_window,60.0,L2,2,valid,GOAL,465.6,1200.5,,3.5,0.0327,,0,4,0.8149,0.0072,62.482,0,283,46.65,0.286,-1.877,synthetic,"SYNTHETIC, not a measurement"
63,C3,2026-09-26,3,rtt_window,60.0,L2,3,valid,GOAL,463.7,1065.7,,3.5,0.0356,,0,2,0.8249,0.0091,62.024,0,193,48.52,0.2804,-2.996,synthetic,"SYNTHETIC, not a measurement"
64,C3,2026-09-26,4,n3_flag,60.0,L2,1,valid,GOAL,419.3,1149.6,33.7,3.5,0.0336,693.07,0,0,0.8227,0.0111,60.716,0,622,47.79,0.2839,-2.967,synthetic,"SYNTHETIC, not a measurement"
65,C3,2026-09-26,4,n3_flag,60.0,L2,2,valid,GOAL,421.1,1131.8,32.2,3.5,0.0344,674.97,0,0,0.8281,0.0058,60.591,0,598,48.52,0.273,-2.733,synthetic,"SYNTHETIC, not a measurement"
66,C3,2026-09-26,4,n3_flag,60.0,L2,3,valid,GOAL,465.4,1046.8,32.0,3.5,0.0352,545.86,0,0,0.8405,0.0092,61.005,0,460,47.01,0.2734,-2.689,synthetic,"SYNTHETIC, not a measurement"
